ababa	a<r>bab<vr>a<va>
ngubuthatha	ng<p>u<iv>bu<n14>thatha<nr>
ngucome	ng<p>u<iv_n11>come<nr>
ngugamaliyeli	ng<p>u<iv_n1>gamaliyeli<nr>
nguhluphile	ng<p>u<iv_n1>hluph<vr>ile<vpl>
ngukuba	ng<p>ukuba<cj>
ngukufika	ng<p>u<iv>ku<n15>fik<vr>a<va>
ngukuthi	ng<p>ukuthi<cj>
ngumagasa	ng<p>u<iv_n1>magasa<nr>
ngumangubane	ng<p>u<iv_n1>mangubane<nr>
ngumanhlengethwa	ng<p>u<iv_n3>manhlengethwa<nr>
ngumanzuza	ng<p>u<iv_n1>manzuza<nr>
ngumarony	ng<p>u<iv_n1>marony<nr>
ngumbhulelo	ng<p>u<iv>m<n3>bhul<vr>el<xa>o<in>
ngumbuso	ng<p>u<iv>m<n3>bus<vr>o<in>
ngumdali	ng<p>u<iv>m<n1>dal<vr>i<hum>
ngumfazi	ng<p>u<iv>m<n1>fazi<nr>
ngumfundisi	ng<p>u<iv>m<n1>fund<vr>is<xc>i<hum>
ngumkhuhlane	ng<p>u<iv>m<n3>khuhlane<nr>
ngumniniyo	ng<p>u<iv>m<n1>nini<nr>yo<pr9>
ngumnu	ng<p>u<iv>m<n1>nu<nr>
ngumoya	ng<p>u<iv_n3>moya<nr>
ngumsebenzi	ng<p>u<iv>m<n1>sebenz<vr>i<hum>, ng<p>u<iv>m<n3>sebenz<vr>i<der>
ngumshikashika	ng<p>u<iv>m<n1>shika<red>shika<nr>
ngumshini	ngu<p>m<n3>shini<nr>
ngumuntu	ng<p>u<iv>mu<n1>ntu<nr>
ngumuphi	ngu<p>mu<n1>phi<ar>
ngumyeni	ng<p>u<iv>m<n1>yeni<nr>
ngumzali	ng<p>u<iv>m<n1>zal<vr>i<hum>
ngumzukazuku	ng<p>u<iv>m<n3>zukazuku<nr>
ngumzukuzuku	ng<p>u<iv>m<n3>zuku<red>zuku<nr>
ngunandi	ng<p>u<iv_n1>nandi<nr>
ngunkosazana	ng<p>u<iv>n<n9>kosazana<nr>
ngunkosikazi	ng<p>u<iv_n1>n<n9>kosi<nr>kazi<fem>
ngunkulunkulu	ng<p>u<iv_n1>nkulu<red>nkulu<nr>
ngunyawo	ng<p>u<iv_n11>nyawo<nr>
ngupagiyeli	ng<p>u<iv_n14>pagiyeli<nr>
ngushaka	ng<p>u<iv_n1>shaka<nr>
ngusiqinti	ngu<p>si<n7>qinti<nr>
nguthisha	ng<p>u<iv_n1>thisha<nr>
nguwe	ngu<p>we<pr2s>
nguwena	ngu<p>we<pr2s>na<st>
nguye	ngu<p>ye<pr1>
nguyena	ngu<p>ye<pr1>na<st>
nguyise	ng<p>u<iv_n1>yise<nr>
ngxi	ngxi<adv>
nhla	nhla<adv>
nhlanhla	nhlanhla<nr>
nhloboni	n<n9>hlobo<nr>ni<int>
nhloko	n<n9>hloko<nr>
nibe	ni<i2p>b<vr>e<vps>, ni<p2p>b<vr>e<vps>, ni<s2p>b<vr>e<vs>
nibona	ni<i2p>bon<vr>a<va>
nicabanga	ni<i2p>cabang<vr>a<va>, ni<p2p>cabang<vr>a<va>
nichela	ni<i2p>chel<vr>a<va>, ni<p2p>chel<vr>a<va>
nidedele	ni<s2p>dedel<vr>e<vs>
nihambe	ni<i2p>hamb<vr>e<vps>
nihlale	ni<i2p>hlal<vr>e<vps>, ni<p2p>hlal<vr>e<vps>, ni<s2p>hlal<vr>e<vs>
nihlanganise	ni<i2p>hlangan<vr>is<xc>e<vps>, ni<p2p>hlangan<vr>is<xc>e<vps>, ni<s2p>hlangan<vr>is<xc>e<vs>
nikhumbule	ni<i2p>khumbul<vr>e<vps>
nikhweze	ni<i2p>khwez<vr>e<vps>, ni<p2p>khwez<vr>e<vps>, ni<s2p>khwez<vr>e<vs>
niki	niki<adv>
nilale	ni<s2p>lal<vr>e<vs>
nimbambe	ni<i2p>m<o1>bamb<vr>e<vps>
nimbeke	ni<i2p>m<o1>bek<vr>e<vps>
nimise	ni<s2p>m<o1>is<xc>e<vs>, ni<s2p>m<vr>is<xc>e<vs>
nimkhweze	ni<s2p>m<o1>khwez<vr>e<vs>
nimthande	ni<i2p>m<o1>thand<vr>e<vps>, ni<p2p>m<o1>thand<vr>e<vps>, ni<s2p>m<o1>thand<vr>e<vs>
nimtshele	ni<i2p>m<o1>tshel<vr>e<vps>
nina	ni<pr2p>na<st>
ningadla	ni<i2p>nga<asp>dl<vr>a<va>
ningadli	ni<s2p>nga<neg>dl<vr>i<vg>
ningamagwala	ni<i2p>ng<p>a<iv>ma<n6>gwala<nr>
ningamaqhawe	ni<i2p>ng<p>a<iv>ma<n6>qhawe<nr>
ningaphumeli	ni<s2p>nga<neg>phum<vr>el<xa>i<vg>
ningawuphuzi	ni<p2p>nga<neg>wu<o3>phuz<vr>i<vg>, ni<s2p>nga<neg>wu<o3>phuz<vr>i<vg>
ningi	ningi<ar>
ningiphe	ni<i2p>ngi<o1s>ph<vr>e<vps>
nini	nini<adv>
nise	ni<p2p>s<vr>e<vps>, ni<s2p>s<vr>e<vs>
nisesikoleni	ni<i2p>se<locpf>sikol<nr>eni<locsf>
nisize	ni<p2p>siz<vr>e<vps>
nisosizini	ni<i2p>so<locpf>siz<nr>ini<locsf>
nithuke	ni<i2p>thuk<vr>e<vps>
nixoxa	ni<i2p>xox<vr>a<va>
niyabona	ni<p2p>ya<asp>bon<vr>a<va>
niyangiqambela	ni<i2p>ya<asp>ngi<o1s>qamb<vr>el<xa>a<va>
niyangizwisa	ni<i2p>ya<asp>ngi<o1s>zw<vr>is<xc>a<va>
niyazi	ni<i2p>y<asp>azi<vr>
niyazibonela	ni<i2p>ya<asp>zi<refl>bon<vr>el<xa>a<va>
niyitshele	ni<i2p>yi<o9>tshel<vr>e<vps>
niyoyikhipha	ni<i2p>yo<fut>yi<o4>khiph<vr>a<va>
nizowaqhamukela	ni<i2p>zo<fut>wa<o6>qhamuk<vr>el<xa>a<va>
njalo	njalo<adv>
njani	njani<adv>
nje	nje<adv>
njena	nje<ar>na<st>
njengabadala	njeng<p>a<r>ba<n2>dala<ar>
njengabantu	njeng<p>a<iv>ba<n2>ntu<nr>
njengalokho	njenga<p>lo<d>kh<d15>o<pos2>
njengamalanda	njeng<p>a<iv>ma<n6>landa<nr>
njengawe	njenga<p>we<pr2s>
njengawo	njenga<p>wo<pr3>
njengayizolo	njenga<p>yizolo<adv>
njengebhasi	njeng<p>e<iv_n5>bhasi<nr>
njengengxenye	njeng<p>e<iv>n<n9>gxenye<nr>
njengensipho	njeng<p>e<iv>n<n9>sipho<nr>
njengenxenye	njeng<p>e<iv>n<n9>xenye<nr>
njengeselesele	njeng<p>e<iv_n5>sele<red>sele<nr>
njengezihlabathi	njeng<p>e<iv>zi<n10>hlabathi<nr>
njengezinto	njeng<p>e<iv>zin<n10>to<nr>
njengoba	nje<adv>ngoba<adv>
njengohlanya	njeng<p>o<iv_n11>hlanya<nr>
njengokuthatha	njengo<p>ku<n15>thath<vr>a<va>
njengokuzwa	njeng<p>o<iv>ku<n15>zw<vr>a<va>
njengomakhonya	njeng<p>o<iv_n1>ma<n6>khonya<nr>
njengomhlanga	njeng<p>o<iv>m<n3>hlanga<nr>
njengomhlophekazi	njeng<p>o<iv>m<n3>hlophe<nr>kazi<fem>
njengomntanami	njeng<p>o<iv>m<n1>ntana<nr>mi<pr1s>
njengomuntu	njeng<p>o<iv>mu<n1>ntu<nr>
njengonyazi	njeng<p>o<iv>n<n9>yazi<nr>
njo	njo<adv>
njulo	n<n9>jul<vr>o<in>
nkilimane	nkilimane<nr>
nkindlane	n<n9>kindl<nr>ane<dim>
nkomazi	n<n9>kom<nr>azi<fem>
nkonzo	n<n9>konz<vr>o<in>
nkosi	n<n9>kosi<nr>
nkosikazi	n<n9>kosi<nr>kazi<fem>
nkwe	n<n9>kwe<nr>
no	n<p>o<iv_n1>
nobani	n<p>o<iv_n1>bani<nr>
nobhanana	n<p>o<iv_n11>bhanana<nr>
nobhokide	n<p>o<iv_n1>bhokide<nr>
nobhulose	n<p>o<iv_n1>bhulose<nr>
nobomvu	n<p>o<r>bomvu<ar>
nobovu	n<p>o<iv_n14>bovu<nr>
nobufakazana	n<p>o<iv>bu<n14>fakaz<nr>ana<dim>
nobukholwa	n<p>o<iv>bu<n14>khol<vr>w<xp>a<va>
nobuluhlaza	n<p>o<iv>bu<n14>luhlaza<ar>
nobulungiswa	n<p>o<iv>bu<n14>lung<vr>is<xc>w<xp>a<va>
nobungane	n<p>o<iv>bu<n14>ngane<nr>
nobunyoninco	n<p>o<iv>bu<n14>nyoninco<nr>
nobunzima	n<p>o<iv>bu<n14>nzima<ar>
nobuso	n<p>o<iv>bu<n14>so<nr>
nocela	n<p>o<r>cel<vr>a<va>
nochitha	n<p>o<r>chith<vr>a<va>
nodokotela	n<p>o<iv_n2>dokotela<nr>
nodolly	n<p>o<iv_n1>dolly<nr>
nofasimba	n<p>o<iv_n1>fasimba<nr>
nogxa	n<p>o<iv_n11>gxa<nr>
nohlaza	n<p>o<iv_n11>hlaza<nr>
nohlelo	n<p>o<iv_n11>hlel<vr>o<in>
nohlobi	n<p>o<iv_n1>hlob<vr>i<hum>
nohluphile	n<p>o<r>hluph<vr>ile<vpl>
nojakobe	n<p>o<iv_n1>jakobe<nr>
nokaba	n<p>o<r>ka<asp>b<vr>a<va>
nokho	nokho<adv>
nokobejwayeza	n<p>o<r>k<z15>o<r>be<past>jwayez<vr>a<va>
nokuba	n<p>okuba<cj>
nokubona	n<p>o<iv>ku<n15>bon<vr>a<va>
nokuciba	n<p>o<iv>ku<n15>cib<vr>a<va>
nokufa	n<p>o<iv>ku<n15>f<vr>a<va>
nokufulathela	n<p>o<iv>ku<n15>fulathel<vr>a<va>
nokufunda	n<p>o<iv>ku<n15>fund<vr>a<va>
nokufundisa	n<p>o<iv>ku<n15>fund<vr>is<xc>a<va>
nokugqiha	n<p>o<iv>ku<n15>gqih<vr>a<va>
nokuguqula	n<p>o<iv>ku<n15>guqul<vr>a<va>
nokuhlala	n<p>o<iv>ku<n15>hlal<vr>a<va>
nokuhlonishwa	n<p>o<iv>ku<n15>hlonish<vr>w<xp>a<va>
nokuhumusha	n<p>o<iv>ku<n15>humush<vr>a<va>
nokukhokhiswa	n<p>o<iv>ku<n15>khokh<vr>is<xc>w<xp>a<va>
nokukhuluma	n<p>o<iv>ku<n15>khulum<vr>a<va>
nokulekelela	n<p>o<iv>ku<n15>lekel<vr>el<xa>a<va>
nokuligcina	n<p>o<iv>ku<n15>li<o5>gcin<vr>a<va>
nokumhlanza	n<p>o<iv>ku<n15>m<o1>hlanz<vr>a<va>
nokumhluphayo	n<p>o<r>ku<n15>m<o1>hluph<vr>a<va>yo<rsf>
nokumshaya	n<p>o<iv>ku<n15>m<o1>shay<vr>a<va>
nokumukisa	n<p>o<iv>ku<n15>muk<vr>is<xc>a<va>
nokungaboni	n<p>o<iv>ku<n15>nga<neg>bon<vr>i<vg>
nokungethembeki	n<p>o<iv>ku<n15>ng<neg>ethemb<vr>ek<xn>i<vg>
nokunyamalala	n<p>o<iv>ku<n15>nyamalal<vr>a<va>
nokunye	n<p>o<iv>ku<n15>nye<ar>
nokuphehla	n<p>o<iv>ku<n15>phehl<vr>a<va>
nokuphendula	n<p>o<iv>ku<n15>phendul<vr>a<va>
nokuphila	n<p>o<iv>ku<n15>phil<vr>a<va>
nokupulukutshelayo	n<p>o<r>ku<i15>pulukutsh<vr>el<xa>a<va>yo<rsf>, n<p>o<r>ku<o15>pulukutsh<vr>el<xa>a<va>yo<rsf>
nokusetshenziswa	n<p>o<iv>ku<n15>setshenz<vr>is<xc>w<xp>a<va>
nokusho	n<p>o<iv>ku<n15>sho<vr>
nokuthatha	n<p>o<iv>ku<n15>thath<vr>a<va>
nokuthenga	n<p>o<iv>ku<n15>theng<vr>a<va>
nokuthi	n<p>o<iv>kuthi<cj>
nokutshiloza	n<p>o<iv>ku<n15>tshiloz<vr>a<va>
nokuwamelela	n<p>o<iv>ku<i15>w<o6>amel<vr>el<xa>a<va>
nokuyenza	n<p>o<iv>ku<n15>y<o9>enz<p1_vr>a<va>
nokuyothi	n<p>o<iv>ku<n15>yo<fut>thi<vr>
nokuzabalaza	n<p>o<iv>ku<n15>zabalaz<vr>a<va>
nokuzenamisa	n<p>o<iv>ku<n15>z<refl>enam<vr>is<xc>a<va>
nokuzibuka	n<p>o<iv>ku<n15>zi<refl>buk<vr>a<va>
nokuzimisela	n<p>o<iv>ku<n15>zi<refl>m<vr>is<xc>el<xa>a<va>
nokuziqhenya	n<p>o<iv>ku<n15>zi<refl>qheny<vr>a<va>
nokuzonda	n<p>o<iv>ku<n15>zond<vr>a<va>
nokwahlukana	n<p>o<iv>kw<n15>ahluk<vr>an<xr>a<va>
nokwami	n<p>o<r>kwa<z15>mi<pr1s>
nokwesaba	n<p>o<iv>kw<n15>esab<p1_vr>a<va>
nokwesula	n<p>o<iv>kw<n15>esul<vr>a<va>
nolahliwe	n<p>o<r>lahl<vr>iw<xp>e<vps>
noluhlaza	n<p>o<r>luhlaza<ar>
noluphindwayo	n<p>o<r>lu<i11>phind<vr>w<xp>a<va>yo<rsf>
noma	noma<cj>
nomahazula	n<p>o<iv>ma<n6>hazula<nr>
nomahhohlohhohlo	n<p>o<iv_n1>ma<n6>hhohlo<red>hhohlo<nr>
nomakoti	n<p>o<iv_n1>makoti<nr>
nomalume	n<p>o<iv_n1>malume<nr>
nomama	n<p>o<iv_n1>mama<nr>
nomamba	n<p>o<iv_n1>mamba<nr>
nomamdunge	n<p>o<iv>ma<n6>mdunge<nr>
nomami	n<p>o<iv_n1>mami<nr>
nomanzuza	n<p>o<iv_n1>manzuza<nr>
nombuso	n<p>o<iv>m<n3>bus<vr>o<in>
nomcabango	n<p>o<iv>m<n3>cabang<vr>o<in>
nomdlandla	n<p>o<iv>m<n3>dlandla<nr>
nomeromo	n<p>o<iv_n1>meromo<nr>
nomfanyana	n<p>o<iv>m<n1>fany<nr>ana<dim>
nomfowabo	n<p>o<iv>m<n1>fo<nr>wa<z1>bo<pr2>
nomhlambi	n<p>o<iv>m<n1>hlamb<vr>i<hum>
nomjuluko	n<p>o<iv>m<n3>juluk<vr>o<in>
nomkakhe	n<p>o<iv>m<n1>ka<nr>khe<pr1>
nomkakho	n<p>o<iv>m<n1>ka<nr>kho<pr2s>
nomlomo	n<p>o<iv>m<n3>lomo<nr>
nommbila	n<p>o<iv>m<n3>mbila<nr>
nomnyango	n<p>o<iv>m<n3>nyango<nr>
nompontshi	n<p>o<iv_n11>mpontsh<vr>i<hum>
nomshado	n<p>o<iv>m<n3>shad<vr>o<in>
nomshwalense	n<p>o<iv>m<n3>shwalense<nr>
nomthunzi	n<p>o<iv>m<n3>thunzi<nr>
nomufi	n<p>o<iv>mu<n1>f<vr>i<hum>
nomummy	n<p>o<iv_n3>mummy<nr>
nomuntu	n<p>o<iv>mu<n1>ntu<nr>
nomuny	n<p>o<r>muny<ar>
nomunye	n<p>o<r>mu<n1>nye<ar>
nomunyu	n<p>o<r>munyu<ar>
nomuzi	n<p>o<iv>mu<n3>zi<nr>
nomzimba	n<p>o<iv>m<n3>zimba<nr>
nondlela	n<p>o<iv_n1>n<n9>dlela<nr>
nonhleko	n<p>o<iv>n<n9>hlek<vr>o<in>
nonina	n<p>o<iv_n1>nina<nr>
nonke	no<pr2p>nke<qr>
nonkonka	n<p>o<iv_n11>nkonka<nr>
nonkulunkulu	n<p>o<iv_n1>nkulu<red>nkulu<nr>
nonomhlanjana	n<p>o<iv_n3>nomhlanj<nr>ana<dim>
nonomoya	n<p>o<r>n<p>o<iv_n3>moya<nr>
nonyoko	n<p>o<iv_n1>nyoko<nr>
nophungash	n<p>o<iv_n11>phungash<nr>
noprofesa	n<p>o<iv_n1>profesa<nr>
noprofessor	n<p>o<iv_n1>professor<nr>
norifate	n<p>o<iv_n1>rifate<nr>
nosakhile	n<p>o<r>s<o7>akh<vr>ile<vpl>
nosheleni	n<p>o<iv_n3>sheleni<nr>
noshintshi	n<p>o<iv_n3>shintshi<nr>
noshoti	n<p>o<iv_n1>shoti<nr>
nosiba	n<p>o<iv_n11>siba<nr>
nosikhuni	n<p>o<r>si<n7>khuni<nr>
nosimakade	no<der>si<n7>makade<nr>
nosizayo	n<p>o<r>siz<vr>a<va>yo<rsf>
nosizo	n<p>o<iv_n11>siz<vr>o<in>
nothanda	n<p>o<r>thand<vr>a<va>
nothando	n<p>o<iv_n11>thand<vr>o<in>
nothi	nothi<nr>
nothish	n<p>o<iv_n1>thish<nr>, n<p>o<iv_n2>thish<nr>
nothisha	n<p>o<iv_n1>thisha<nr>
nothogarma	n<p>o<iv_n1>thogarma<nr>
nothoko	n<p>o<iv_n1>thok<vr>o<der>
novalo	n<p>o<iv_n11>valo<nr>
noyihlo	n<p>o<iv_n1>yihlo<nr>, n<p>o<iv_n2>yihlo<nr>
noyise	n<p>o<iv_n1>yise<nr>
nozethu	n<p>o<iv_n2>zethu<nr>
nozwide	n<p>o<iv_n1>zwide<nr>
nqatshelwa	nqatshel<vr>w<xp>a<imp>
nsizwa	n<n9>sizwa<nr>
nsuku	n<n9>suku<nr>
ntaba	n<n9>taba<nr>
ntambama	ntambama<adv>
ntinini	ntinini<adv>
ntombazane	n<n9>tombazane<nr>
nwi	nwi<adv>
nxa	nxa<adv>
nxashana	nxashana<cj>
nxazonke	nxa<nr>zo<pr10>nke<qr>
nxumalo	nxumalo<nr>
nya	nya<adv>
nyanga	nyanga<nr>
nyelele	nyelele<adv>
nyoka	nyoka<nr>
nyoni	nyoni<nr>
nzima	nzima<ar>
o	o<intj>, o<locpf>
obaba	o<iv_n11>baba<nr>
obabuzayo	o<r>ba<o2>buz<vr>a<va>yo<rsf>
obakhe	o<r>ba<o2>kh<vr>e<vps>
obala	o<locpf>bala<nr>
obambisanayo	o<r>bamb<vr>is<xc>an<xr>a<va>yo<rsf>
obani	o<iv_n2>bani<nr>
obanzi	o<r>banzi<ar>
obasondela	o<r>ba<i2>sondel<vr>a<va>
obecabanga	o<r>be<past>cabang<vr>a<va>
obehamba	o<r>be<past>hamb<vr>a<va>
obehlela	o<r>be<p2>hlel<vr>a<va>
obemele	o<r>be<past>m<vr>el<xa>e<vps>
obengilande	o<r>be<past>ngi<o1s>land<vr>e<vps>
obeshiswa	o<r>be<past>sh<vr>is<xc>w<xp>a<va>
obeyibhala	o<r>be<past>yi<o9>bhal<vr>a<va>
obhalayo	o<r>bhal<vr>a<va>yo<rsf>
obokufa	o<r>b<z14>o<iv>ku<n15>f<vr>a<va>
obomvana	o<r>bomv<ar>ana<dim>
obomvu	o<r>bomvu<ar>
obondeni	o<locpf>bond<nr>eni<locsf>
obonga	o<r>bong<vr>a<va>
obonwa	o<r>bon<vr>w<xp>a<va>
oboti	o<iv_n2>boti<nr>
obuhamba	o<r>bu<i14>hamb<vr>a<va>
obukeka	o<r>buk<vr>ek<xn>a<va>
obukhali	o<r>bukhali<ar>
obukhulu	o<r>bu<n14>khulu<ar>
obunzima	o<r>bu<i14>nzima<ar>
ocela	o<r>cel<vr>a<va>
ocingeni	o<locpf>cing<nr>eni<locsf>
odakeni	o<locpf>dak<nr>eni<locsf>
odla	o<r>dl<vr>a<va>
odokotela	o<iv_n2>dokotela<nr>
odonse	o<r>dons<vr>e<vs>
odumile	o<r>dum<vr>ile<vpl>
ofakwa	o<r>fak<vr>w<xp>a<va>
ofana	o<r>fan<vr>a<va>
ofele	o<r>fel<vr>e<vps>
ofuna	o<r>fun<vr>a<va>
ofundisa	o<r>fund<vr>is<xc>a<va>
ogama	o<r>gama<nr>
ogcwele	o<r>gcwel<vr>e<vps>
ogoqiwe	o<r>goq<vr>iw<xp>e<vpl>
ogulayo	o<r>gul<vr>a<va>yo<rsf>
ogwayi	o<z6_iv_n3>gwayi<nr>
ohlala	o<r>hlal<vr>a<va>
ohlonipha	o<r>hloniph<vr>a<va>
ohloniphayo	o<r>hloniph<vr>a<va>yo<rsf>
ohlonishwa	o<r>hlonish<vr>w<xp>a<va>
ohlwathizayo	o<r>hlwathiz<vr>a<va>yo<rsf>
oholibama	o<iv_n2>holibama<nr>
oholibhama	o<r>holibham<vr>a<va>
ojulukayo	o<r>juluk<vr>a<va>yo<rsf>
ojwayeleka	o<r>jwayel<vr>ek<xn>a<imp>
okaban	o<r>ka<z6>ban<nr>
okabani	o<r>ka<z6>bani<nr>
okabuye	o<r>ka<asp>buy<vr>e<vps>
okakudla	o<r>k<i15>a<asp>ku<p15>dl<vr>a<va>
okaqwabe	o<r>ka<z1>qwabe<nr>
oke	o<r>ke<mr>
okhalayo	o<r>khal<vr>a<va>yo<rsf>
okhipha	o<r>khiph<vr>a<va>
okhiye	o<r>khiy<vr>e<vps>
okhulekayo	o<r>khul<vr>ek<xn>a<va>yo<rsf>
okhuleni	o<locpf>khul<nr>eni<locsf>
okhulumisa	o<r>khulum<vr>is<xc>a<va>
okhuthalele	o<r>khuthal<vr>el<xa>e<vps>
okirani	o<iv_n2>kirani<nr>
okobuso	o<r>k<z15>o<iv>bus<vr>o<in>
okohlanya	o<r>k<z15>o<iv_n11>hlanya<nr>
okokuqala	o<r>k<z15>o<iv>ku<n15>qal<vr>a<va>
okomcibisholo	o<r>k<z15>o<iv>m<n3>cibisholo<nr>
okomshayi	o<r>k<z15>o<iv>m<n1>shay<vr>i<hum>
okomuntu	o<r>k<z15>o<iv>mu<n1>ntu<nr>
okonakele	o<r>k<i15>on<vr>akel<xn>e<vps>
okotshani	o<r>k<z15>o<iv_n14>tshani<nr>
okubalulekile	o<r>ku<p15>balul<vr>ek<xn>ile<vpl>
okubhala	o<r>ku<i15>bhal<vr>a<va>
okubhalwe	o<r>ku<n15>bhal<vr>w<xp>e<vps>
okubi	o<r>ku<n15>bi<ar>
okubuhlungu	o<r>ku<i15>buhlungu<ar>
okubulala	o<r>ku<i15>bulal<vr>a<va>
okucabanga	o<r>ku<i15>cabang<vr>a<va>
okudala	o<r>ku<n15>dal<vr>a<va>
okudingekayo	o<r>ku<i15>ding<vr>ek<xn>a<va>yo<rsf>
okudla	o<r>ku<o15>dl<vr>a<va>
okufanele	o<r>ku<i15>fan<vr>el<xa>e<vps>
okufuna	o<z6_iv>ku<n15>fun<vr>a<va>
okuhlamba	o<r>ku<i15>hlamb<vr>a<va>
okuhle	o<r>ku<n15>hle<ar>
okuhlolwa	o<r>ku<i15>hlol<vr>w<xp>a<va>
okukhanya	o<z6_iv>ku<n15>khany<vr>a<va>
okukhanyisile	o<r>ku<i15>khany<vr>is<xc>ile<vpl>
okukhombisayo	o<r>ku<i15>khomb<vr>is<xc>a<va>yo<rsf>
okukhulu	o<z6_iv>ku<n15>khulu<ar>
okulula	o<r>ku<i15>lula<ar>
okumbambile	o<r>ku<i15>m<o1>bamb<vr>ile<vpl>
okumbandakanya	o<r>ku<i15>m<o1>bandakany<vr>a<va>
okumdlukumeze	o<r>ku<i15>m<o1>dlukumez<vr>e<vps>
okumehlele	o<r>ku<i15>m<o1>ehlel<vr>e<vps>
okumele	o<r>ku<i15>m<vr>el<xa>e<vps>
okumkhathazayo	o<r>ku<i15>m<o1>khathaz<vr>a<va>yo<rsf>
okumnyama	o<r>ku<i15>mnyama<ar>
okumvelelayo	o<r>ku<i15>m<o1>vel<vr>el<xa>a<va>yo<rsf>
okuncane	o<r>ku<n15>ncane<ar>
okungabafanyana	o<r>ku<i15>ng<p>a<iv>ba<n2>fany<nr>ana<dim>
okungahambi	o<r>ku<s15>nga<neg>hamb<vr>i<vg>
okungaka	o<r>ku<i15>ngaka<ar>
okunganakekile	o<r>ku<i15>nga<neg>nak<vr>ek<xn>ile<vpl>
okungasho	o<r>ku<i15>nga<asp>sho<vr>
okungasikhanyisela	o<r>ku<i15>nga<asp>si<o7>khany<vr>is<xc>el<xa>a<va>
okungathi	o<r>ku<i15>nga<neg>thi<vr>
okungcono	o<r>ku<i15>ngcono<ar>
okungenamilenze	o<r>ku<i15>nge<neg>na<p>mi<n4>lenze<nr>, o<r>ku<n15>ngen<vr>a<va>mi<n4>lenze<nr>
okungenani	o<r>ku<i15>nge<neg>na<p>ni<int>
okungenazimpondo	o<r>ku<i15>nge<neg>na<p>zim<n10>pondo<nr>, o<r>ku<n15>ngen<vr>a<va>zim<n10>pondo<nr>
okungenzekanga	o<r>ku<i15>ng<neg>enz<vr>ek<xn>anga<vpg>
okungesiyona	o<r>ku<i15>nge<neg>si<p>yo<pr9>na<st>
okungmsiza	o<r>ku<p15>ng<asp>m<o1>siz<vr>a<va>
okunguhluphile	o<iv>ku<n15>ng<p>u<iv_n1>hluph<vr>ile<vpl>
okungusikhuni	o<iv>ku<n15>ng<p>u<iv_n1>si<n7>khun<vr>i<hum>
okunika	o<r>ku<i15>nik<vr>a<va>
okuningi	o<r>ku<n15>ningi<ar>
okunukayo	o<r>ku<i15>nuk<vr>a<va>yo<rsf>
okunyakazayo	o<r>ku<i15>nyakaz<vr>a<va>yo<rsf>
okunye	o<r>ku<n15>nye<ar>
okuphe	o<r>ku<i15>ph<vr>e<vps>
okupheka	o<r>ku<i15>phek<vr>a<va>
okupheshezayo	o<r>ku<i15>pheshez<vr>a<va>yo<rsf>
okuqhubekayo	o<r>ku<i15>qhub<vr>ek<xn>a<va>yo<rsf>
okusalayo	o<r>ku<p15>sal<vr>a<va>yo<rsf>
okusayo	o<r>ku<i15>s<vr>a<va>yo<rsf>
okusebenzisa	o<r>ku<i15>sebenz<vr>is<xc>a<va>
okusemoyeni	o<r>ku<i15>se<locpf>moy<vr>eni<locsf>
okusemqoka	o<r>ku<i15>se<locpf>m<n3>qoka<nr>
okushiwo	o<r>ku<i15>sh<vr>iw<xp>o<va>
okushiwoyo	o<r>ku<i15>sh<vr>iw<xp>o<va>yo<rsf>
okusho	o<r>ku<p15>sho<vr>
okusizayo	o<r>ku<i15>siz<vr>a<va>yo<rsf>
okusolayo	o<r>ku<i15>sol<vr>a<va>yo<rsf>
okuthandayo	o<r>ku<i15>thand<vr>a<va>yo<rsf>
okuthile	o<r>ku<i15>th<vr>ile<vpl>
okuthiwa	o<r>ku<i15>th<vr>iw<xp>a<va>
okutholakalayo	o<r>ku<p15>thol<vr>akal<xn>a<va>yo<rsf>
okutshala	o<r>ku<i15>tshal<vr>a<va>
okutshelile	o<r>ku<i15>tshel<vr>ile<vpl>, o<r>ku<p15>tshel<vr>ile<vpl>
okuvamise	o<r>ku<i15>vam<vr>is<xc>e<vs>
okuyiphinda	o<r>ku<p15>yi<o4>phind<vr>a<va>, o<r>ku<p15>yi<o9>phind<vr>a<va>
okuyiyona	o<iv>ku<n15>yi<p>yo<pr9>na<st>
okuyizichwe	o<r>ku<i15>y<p>i<iv>zi<n10>chwe<nr>
okuyokwenzeka	o<r>ku<i15>yo<fut>kw<n15>enz<vr>ek<xn>a<va>
okuzobalungela	o<r>ku<i15>zo<fut>ba<o2>lung<vr>el<xa>a<va>
okuzobhekwa	o<r>ku<i15>zo<fut>bhek<vr>w<xp>a<va>
okuzokonakala	o<r>ku<i15>zo<fut>k<n15>on<vr>akal<xn>a<va>
okuzwile	o<r>ku<i15>zw<vr>ile<vpl>
okwabantu	o<r>kw<z15>a<iv>ba<n2>ntu<nr>
okwabe	o<r>kw<i15>a<asp>be<mr>
okwabizwa	o<r>kw<i15>a<asp>biz<vr>w<xp>a<va>
okwakubuye	o<r>kw<i15>a<asp>ku<p15>buy<vr>e<vps>
okwakudla	o<r>kw<i15>a<asp>ku<p15>dl<vr>a<va>
okwakufanele	o<r>kw<i15>a<asp>ku<p15>fan<vr>el<xa>e<vps>
okwakuhlalwa	o<r>kw<i15>a<asp>ku<o15>hlal<vr>w<xp>a<va>
